query,prediction,full_response,error,tool_set,ground_truth,base_template,chosen_template,domains,source_domain,correct,unwanted_side_effects,coverage,domain
Can you make a bar chart of total visits since November 21?,"['analytics.total_visits_count.func(time_min=""2023-11-21"", time_max=""2023-11-30"")', 'analytics.create_plot.func(time_min=""2023-11-21"", time_max=""2023-11-30"", value_to_plot=""total_visits"", plot_type=""bar"")']",plots/2023-11-21_2023-11-30_total_visits_bar.png,,improved,"['analytics.create_plot.func(time_min=""2023-11-21"", time_max=""2023-11-29"", value_to_plot=""total_visits"", plot_type=""bar"")']",Can you make a {plot_type} chart of {natural_language_metric} since {natural_language_date}?,Can you make a {plot_type} chart of {natural_language_metric} since {natural_language_date}?,['analytics'],analytics,False,True,uncovered,analytics
Plot average session duration since September 29 as a line chart,"['analytics.get_average_session_duration.func(time_min=""2023-09-29"", time_max=""2023-11-30"")', 'analytics.create_plot.func(time_min=""2023-09-29"", time_max=""2023-11-29"", value_to_plot=""session_duration_seconds"", plot_type=""line"")']",plots/2023-09-29_2023-11-29_session_duration_seconds_line.png,,improved,"['analytics.create_plot.func(time_min=""2023-09-29"", time_max=""2023-11-29"", value_to_plot=""session_duration_seconds"", plot_type=""line"")']",Can you make a {plot_type} chart of {natural_language_metric} since {natural_language_date}?,Plot {natural_language_metric} since {natural_language_date} as a {plot_type} chart,['analytics'],analytics,True,False,uncovered,analytics
Can you make a histogram of total visits on September 20?,"['analytics.total_visits_count.func(time_min=""2023-09-20"", time_max=""2023-09-20"")', 'analytics.create_plot.func(time_min=""2023-09-20"", time_max=""2023-09-20"", value_to_plot=""total_visits"", plot_type=""histogram"")']",plots/2023-09-20_2023-09-20_total_visits_histogram.png,,improved,"['analytics.create_plot.func(time_min=""2023-09-20"", time_max=""2023-09-20"", value_to_plot=""total_visits"", plot_type=""histogram"")']",Plot the distribution of {natural_language_metric} on {natural_language_date},Can you make a histogram of {natural_language_metric} on {natural_language_date}?,['analytics'],analytics,True,False,uncovered,analytics
please plot the distribution of the engaged users metric on November 29,"['analytics.engaged_users_count.func(time_min=""2023-11-29"", time_max=""2023-11-29"")']","Engaged Users on November 29, 2023: ***** (5)",,improved,"['analytics.create_plot.func(time_min=""2023-11-29"", time_max=""2023-11-29"", value_to_plot=""user_engaged"", plot_type=""histogram"")']",Plot the distribution of {natural_language_metric} on {natural_language_date},please plot the distribution of the {natural_language_metric} metric on {natural_language_date},['analytics'],analytics,False,False,uncovered,analytics
Please plot for me the distribution of engaged users and average session duration between October 14 and November 6,"['analytics.engaged_users_count.func(time_min=""2023-10-14"", time_max=""2023-11-06"")', 'analytics.get_average_session_duration.func(time_min=""2023-10-14"", time_max=""2023-11-06"")']","Date: 2023-10-14, Engaged Users: 7, Average Session Duration: 22.10 seconds
Date: 2023-10-15, Engaged Users: 7, Average Session Duration: 20.00 seconds
Date: 2023-10-16, Engaged Users: 1, Average Session Duration: 11.33 seconds
Date: 2023-10-17, Engaged Users: 7, Average Session Duration: 15.33 seconds
Date: 2023-10-18, Engaged Users: 8, Average Session Duration: 17.12 seconds
Date: 2023-10-19, Engaged Users: 3, Average Session Duration: 15.22 seconds
Date: 2023-10-20, Engaged Users: 3, Average Session Duration: 16.75 seconds
Date: 2023-10-21, Engaged Users: 11, Average Session Duration: 20.20 seconds
Date: 2023-10-22, Engaged Users: 5, Average Session Duration: 15.77 seconds
Date: 2023-10-23, Engaged Users: 4, Average Session Duration: 19.12 seconds
Date: 2023-10-24, Engaged Users: 10, Average Session Duration: 23.33 seconds
Date: 2023-10-25, Engaged Users: 0, Average Session Duration: 5.43 seconds
Date: 2023-10-26, Engaged Users: 3, Average Session Duration: 23.10 seconds
Date: 2023-10-27, Engaged Users: 4, Average Session Duration: 17.00 seconds
Date: 2023-10-28, Engaged Users: 5, Average Session Duration: 14.59 seconds
Date: 2023-10-29, Engaged Users: 10, Average Session Duration: 24.79 seconds
Date: 2023-10-30, Engaged Users: 5, Average Session Duration: 12.33 seconds
Date: 2023-10-31, Engaged Users: 4, Average Session Duration: 21.67 seconds
Date: 2023-11-01, Engaged Users: 5, Average Session Duration: 9.31 seconds
Date: 2023-11-02, Engaged Users: 5, Average Session Duration: 13.62 seconds
Date: 2023-11-03, Engaged Users: 7, Average Session Duration: 21.09 seconds
Date: 2023-11-04, Engaged Users: 6, Average Session Duration: 17.56 seconds
Date: 2023-11-05, Engaged Users: 8, Average Session Duration: 24.70 seconds
Date: 2023-11-06, Engaged Users: 4, Average Session Duration: 18.40 seconds",,improved,"['analytics.create_plot.func(time_min=""2023-10-14"", time_max=""2023-11-06"", value_to_plot=""user_engaged"", plot_type=""histogram"")', 'analytics.create_plot.func(time_min=""2023-10-14"", time_max=""2023-11-06"", value_to_plot=""session_duration_seconds"", plot_type=""histogram"")']",Can you plot the distribution of both {natural_language_metric} and {natural_language_metric_2} between {natural_language_date} and {natural_language_date_max}??,Please plot for me the distribution of {natural_language_metric} and {natural_language_metric_2} between {natural_language_date} and {natural_language_date_max},['analytics'],analytics,False,False,uncovered,analytics
"was total visits less than 3 at any time since September 13? If so, please plot it as a line chart","['analytics.total_visits_count.func(time_min=""2023-09-13"", time_max=""2023-11-30"")']",No days with total visits less than 3 since September 13.,,improved,[],"If {natural_language_metric} was {more_or_less} than {threshold} at any time since {natural_language_date}, make a line plot of it since then","was {natural_language_metric} {more_or_less} than {threshold} at any time since {natural_language_date}? If so, please plot it as a line chart",['analytics'],analytics,True,False,uncovered,analytics
"was average session duration more than 19 at any time since November 5? If so, please plot it as a line chart","['analytics.get_average_session_duration.func(time_min=""2023-11-05"", time_max=""2023-11-30"")', 'analytics.create_plot.func(time_min=""2023-11-05"", time_max=""2023-11-30"", value_to_plot=""session_duration_seconds"", plot_type=""line"")']",The plot showing average session duration over time has been created successfully and saved as '2023-11-05_2023-11-30_session_duration_seconds_line.png'.,,improved,"['analytics.create_plot.func(time_min=""2023-11-05"", time_max=""2023-11-29"", value_to_plot=""session_duration_seconds"", plot_type=""line"")']","If {natural_language_metric} was {more_or_less} than {threshold} at any time since {natural_language_date}, make a line plot of it since then","was {natural_language_metric} {more_or_less} than {threshold} at any time since {natural_language_date}? If so, please plot it as a line chart",['analytics'],analytics,False,True,uncovered,analytics
I need bar charts of total visits and engaged users since 2023-11-10,"['analytics.total_visits_count.func(time_min=""2023-11-10"")', 'analytics.engaged_users_count.func(time_min=""2023-11-10"")', 'analytics.create_plot.func(time_min=""2023-11-10"", time_max=""2023-11-29"", value_to_plot=""total_visits"", plot_type=""bar"")', 'analytics.create_plot.func(time_min=""2023-11-10"", time_max=""2023-11-29"", value_to_plot=""user_engaged"", plot_type=""bar"")']","{'total_visits_chart': 'plots/2023-11-10_2023-11-29_total_visits_bar.png', 'engaged_users_chart': 'plots/2023-11-10_2023-11-29_user_engaged_bar.png'}",,improved,"['analytics.create_plot.func(time_min=""2023-11-10"", time_max=""2023-11-29"", value_to_plot=""total_visits"", plot_type=""bar"")', 'analytics.create_plot.func(time_min=""2023-11-10"", time_max=""2023-11-29"", value_to_plot=""user_engaged"", plot_type=""bar"")']",Make bar charts showing {natural_language_metric} and {natural_language_metric_2} since {date_min},I need bar charts of {natural_language_metric} and {natural_language_metric_2} since {date_min},['analytics'],analytics,True,False,uncovered,analytics
can you make bar charts of engaged users and average session duration since 2023-11-02?,"['analytics.engaged_users_count.func(time_min=""2023-11-02"")', 'analytics.get_average_session_duration.func(time_min=""2023-11-02"")', 'analytics.create_plot.func(time_min=""2023-11-02"", time_max=""2023-11-29"", value_to_plot=""user_engaged"", plot_type=""bar"")', 'analytics.create_plot.func(time_min=""2023-11-02"", time_max=""2023-11-29"", value_to_plot=""session_duration_seconds"", plot_type=""bar"")']",Bar charts created successfully: Engaged users plot at 'plots/2023-11-02_2023-11-29_user_engaged_bar.png' and Average session duration plot at 'plots/2023-11-02_2023-11-29_session_duration_seconds_bar.png'.,,improved,"['analytics.create_plot.func(time_min=""2023-11-02"", time_max=""2023-11-29"", value_to_plot=""user_engaged"", plot_type=""bar"")', 'analytics.create_plot.func(time_min=""2023-11-02"", time_max=""2023-11-29"", value_to_plot=""session_duration_seconds"", plot_type=""bar"")']",Make bar charts showing {natural_language_metric} and {natural_language_metric_2} since {date_min},can you make bar charts of {natural_language_metric} and {natural_language_metric_2} since {date_min}?,['analytics'],analytics,True,False,uncovered,analytics
"Was total visits less than 3 at any time in the last 1 weeks? If so, please plot it as a line chart","['analytics.total_visits_count.func(time_min=""2023-11-23"", time_max=""2023-11-30"")']",No days had total visits less than 3 in the last week.,,improved,[],"If {natural_language_metric} was {more_or_less} than {threshold} any time in the last {past_n_weeks} weeks, make a line plot of it since then","Was {natural_language_metric} {more_or_less} than {threshold} at any time in the last {past_n_weeks} weeks? If so, please plot it as a line chart",['analytics'],analytics,True,False,uncovered,analytics
"Is engaged users more than 5% lower than September 25? If so, please plot it as a line chart","['analytics.engaged_users_count.func(time_min=""2023-09-25"", time_max=""2023-09-25"")', 'analytics.engaged_users_count.func(time_min=""2023-11-30"", time_max=""2023-11-30"")', 'analytics.engaged_users_count.func(time_min=""2023-11-01"", time_max=""2023-11-30"")', 'analytics.create_plot.func(time_min=""2023-11-01"", time_max=""2023-11-30"", value_to_plot=""user_engaged"", plot_type=""line"")']",Engaged users on November 30 were more than 5% lower than on September 25. The plot for engaged users over November has been created successfully.,,improved,[],"If {natural_language_metric} is more than {natural_language_growth_threshold} {higher_or_lower} than {natural_language_date}, make a line plot of it since then","Is {natural_language_metric} more than {natural_language_growth_threshold} {higher_or_lower} than {natural_language_date}? If so, please plot it as a line chart",['analytics'],analytics,False,True,uncovered,analytics
"Is total visits more than 10% lower than October 21? If so, please plot it as a line chart","['analytics.total_visits_count.func(time_min=""2023-10-21"", time_max=""2023-10-21"")', 'analytics.total_visits_count.func(time_min=""2023-11-01"", time_max=""2023-11-30"")']",The total visits in November are not more than 10% lower than the total visits on October 21.,,improved,"['analytics.create_plot.func(time_min=""2023-10-21"", time_max=""2023-11-29"", value_to_plot=""total_visits"", plot_type=""line"")']","If {natural_language_metric} is more than {natural_language_growth_threshold} {higher_or_lower} than {natural_language_date}, make a line plot of it since then","Is {natural_language_metric} more than {natural_language_growth_threshold} {higher_or_lower} than {natural_language_date}? If so, please plot it as a line chart",['analytics'],analytics,False,False,uncovered,analytics
Can you make a line chart of engaged users since Sunday if it is more than 5% lower than Sunday?,"['analytics.engaged_users_count.func(time_min=""2023-11-26"", time_max=""2023-11-30"")', 'analytics.create_plot.func(time_min=""2023-11-26"", time_max=""2023-11-30"", value_to_plot=""user_engaged"", plot_type=""line"")']",plots/2023-11-26_2023-11-30_user_engaged_line.png,,improved,[],"If {natural_language_metric} is more than {natural_language_growth_threshold} {higher_or_lower} than it was on {day_of_week}, make a line plot of it since then",Can you make a line chart of {natural_language_metric} since {day_of_week} if it is more than {natural_language_growth_threshold} {higher_or_lower} than {day_of_week}?,['analytics'],analytics,False,True,uncovered,analytics
