query,prediction,full_response,error,tool_set,ground_truth,base_template,chosen_template,domains,source_domain,correct,unwanted_side_effects,coverage,domain
Quinn Thomas has moved to lead status. Can you update that in the crm?,"['customer_relationship_manager.search_customers.func(customer_name=""Quinn Thomas"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000041"", field=""status"", new_value=""Lead"")']",Customer status updated successfully.,,improved,"['customer_relationship_manager.update_customer.func(customer_id=""00000041"", field=""status"", new_value=""Lead"")']",Update the status of {current_customer_name} to {new_status_natural_language} in the crm,{current_customer_name} has moved to {new_status_natural_language} status. Can you update that in the crm?,['customer_relationship_manager'],customer_relationship_manager,True,False,uncovered,customer_relationship_manager
We've got a new customer that's moved to proposal status. Can you update Kerry Brown to proposal in the crm?,"['customer_relationship_manager.search_customers.func(customer_name=""Kerry Brown"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000199"", field=""status"", new_value=""Proposal"")']",Customer status updated to proposal successfully.,,improved,"['customer_relationship_manager.update_customer.func(customer_id=""00000199"", field=""status"", new_value=""Proposal"")']",Update the status of {current_customer_name} to {new_status_natural_language} in the crm,We've got a new customer that's moved to {new_status_natural_language} status. Can you update {current_customer_name} to {new_status_natural_language} in the crm?,['customer_relationship_manager'],customer_relationship_manager,True,False,uncovered,customer_relationship_manager
Delete Rahul Martinez from the crm,"['customer_relationship_manager.search_customers.func(customer_name=""Rahul Martinez"")', 'customer_relationship_manager.delete_customer.func(customer_id=""00000003"")']",Rahul Martinez has been successfully deleted from the CRM.,,improved,"['customer_relationship_manager.delete_customer.func(customer_id=""00000003"")']",Delete {current_customer_name} from the crm,Delete {current_customer_name} from the crm,['customer_relationship_manager'],customer_relationship_manager,True,False,uncovered,customer_relationship_manager
Kerry Moore is no longer a customer. Can you delete them from the crm?,"['customer_relationship_manager.search_customers.func(customer_name=""Kerry Moore"")', 'customer_relationship_manager.delete_customer.func(customer_id=""00000046"")']",Kerry Moore has been successfully deleted from the CRM.,,improved,"['customer_relationship_manager.delete_customer.func(customer_id=""00000046"")']",Delete {current_customer_name} from the crm,{current_customer_name} is no longer a customer. Can you delete them from the crm?,['customer_relationship_manager'],customer_relationship_manager,True,False,uncovered,customer_relationship_manager
Delete Jaden White from the crm,"['customer_relationship_manager.search_customers.func(customer_name=""Jaden White"")', 'customer_relationship_manager.delete_customer.func(customer_id=""00000052"")']",Jaden White has been successfully deleted from the CRM.,,improved,"['customer_relationship_manager.delete_customer.func(customer_id=""00000052"")']",Delete {current_customer_name} from the crm,Delete {current_customer_name} from the crm,['customer_relationship_manager'],customer_relationship_manager,True,False,uncovered,customer_relationship_manager
Add Quinn Robinson as a new lead in the crm and assign them to Raj,"['company_directory.find_email_address.func(name=""Raj"")', 'customer_relationship_manager.add_customer.func(customer_name=""Quinn Robinson"", assigned_to_email=""raj.patel@atlas.com"", status=""Lead"")']",Quinn Robinson has been added as a new lead and assigned to Raj.,,improved,"['customer_relationship_manager.add_customer.func(customer_name=""Quinn Robinson"", assigned_to_email=""raj.patel@atlas.com"", status=""Lead"")']",Add {new_customer_name} as a new lead in the crm and assign them to {assigned_to_first_name},Add {new_customer_name} as a new lead in the crm and assign them to {assigned_to_first_name},['customer_relationship_manager'],customer_relationship_manager,True,False,uncovered,customer_relationship_manager
Add Jordan Moore as a new lead in the crm and assign them to Nadia,"['company_directory.find_email_address.func(name=""Nadia"")', 'customer_relationship_manager.add_customer.func(customer_name=""Jordan Moore"", assigned_to_email=""nadia.moreau@atlas.com"", status=""Lead"")']",New lead Jordan Moore has been added and assigned to Nadia.,,improved,"['customer_relationship_manager.add_customer.func(customer_name=""Jordan Moore"", assigned_to_email=""nadia.moreau@atlas.com"", status=""Lead"")']",Add {new_customer_name} as a new lead in the crm and assign them to {assigned_to_first_name},Add {new_customer_name} as a new lead in the crm and assign them to {assigned_to_first_name},['customer_relationship_manager'],customer_relationship_manager,True,False,uncovered,customer_relationship_manager
Reassign Morgan Robinson to Sofia in the crm,"['customer_relationship_manager.search_customers.func(customer_name=""Morgan Robinson"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000125"", field=""assigned_to_email"", new_value=""sofia.garcia@example.com"")']",Customer reassignment successful.,,improved,"['customer_relationship_manager.update_customer.func(customer_id=""00000125"", field=""assigned_to_email"", new_value=""sofia.santos@atlas.com"")']",Reassign {current_customer_name} to {assigned_to_first_name} in the crm,Reassign {current_customer_name} to {assigned_to_first_name} in the crm,['customer_relationship_manager'],customer_relationship_manager,False,True,uncovered,customer_relationship_manager
Reassign Reese Jones to Lena in the crm,"['customer_relationship_manager.search_customers.func(customer_name=""Reese Jones"")', 'company_directory.find_email_address.func(name=""Lena"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000051"", field=""assigned_to_email"", new_value=""lena.schmidt@atlas.com"")']",Reese Jones has been reassigned to Lena.,,improved,"['customer_relationship_manager.update_customer.func(customer_id=""00000051"", field=""assigned_to_email"", new_value=""lena.schmidt@atlas.com"")']",Reassign {current_customer_name} to {assigned_to_first_name} in the crm,Reassign {current_customer_name} to {assigned_to_first_name} in the crm,['customer_relationship_manager'],customer_relationship_manager,True,False,uncovered,customer_relationship_manager
We're moving Jamie Martin to Sofia. Can you make that change in the crm?,"['company_directory.find_email_address.func(name=""Jamie Martin"")', 'company_directory.find_email_address.func(name=""Jamie Martin"")']",The update could not be completed as Jamie Martin could not be found.,,improved,"['customer_relationship_manager.update_customer.func(customer_id=""00000193"", field=""assigned_to_email"", new_value=""sofia.santos@atlas.com"")']",Reassign {current_customer_name} to {assigned_to_first_name} in the crm,We're moving {current_customer_name} to {assigned_to_first_name}. Can you make that change in the crm?,['customer_relationship_manager'],customer_relationship_manager,False,False,uncovered,customer_relationship_manager
Lena is taking over all of Akira's leads that are interested in software. Can you reassign them in the crm?,"['customer_relationship_manager.search_customers.func(product_interest=""Software"", status=""Lead"", assigned_to_email=""akira.suzuki@example.com"")']",No leads found for reassignment.,,improved,"['customer_relationship_manager.update_customer.func(customer_id=""00000095"", field=""assigned_to_email"", new_value=""lena.schmidt@atlas.com"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000080"", field=""assigned_to_email"", new_value=""lena.schmidt@atlas.com"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000035"", field=""assigned_to_email"", new_value=""lena.schmidt@atlas.com"")']",Reassign all of {assigned_to_first_name}'s leads that are interested in {natural_language_product_interest} to {new_assigned_to_first_name} in the crm.,{new_assigned_to_first_name} is taking over all of {assigned_to_first_name}'s leads that are interested in {natural_language_product_interest}. Can you reassign them in the crm?,['customer_relationship_manager'],customer_relationship_manager,False,False,uncovered,customer_relationship_manager
We're moving all of Lena's leads that are interested in services to Sofia. Can you make that change in the crm?,"['customer_relationship_manager.search_customers.func(customer_name=""Lena"", product_interest=""Services"")', 'customer_relationship_manager.search_customers.func(customer_name=""Lena"", product_interest=""Services"")']",There are no leads for Lena interested in services to reassign.,,improved,"['customer_relationship_manager.update_customer.func(customer_id=""00000034"", field=""assigned_to_email"", new_value=""sofia.santos@atlas.com"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000177"", field=""assigned_to_email"", new_value=""sofia.santos@atlas.com"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000110"", field=""assigned_to_email"", new_value=""sofia.santos@atlas.com"")']",Reassign all of {assigned_to_first_name}'s leads that are interested in {natural_language_product_interest} to {new_assigned_to_first_name} in the crm.,We're moving all of {assigned_to_first_name}'s leads that are interested in {natural_language_product_interest} to {new_assigned_to_first_name}. Can you make that change in the crm?,['customer_relationship_manager'],customer_relationship_manager,False,False,uncovered,customer_relationship_manager
Raj is taking over all of Sofia's customers that are interested in training and are either qualified or in proposal. Can you reassign them in the crm?,"['customer_relationship_manager.search_customers.func(product_interest=""Training"", status=""Qualified"", assigned_to_email=""sofia.perez@example.com"")']",No customers to reassign.,,improved,"['customer_relationship_manager.update_customer.func(customer_id=""00000120"", field=""assigned_to_email"", new_value=""raj.patel@atlas.com"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000042"", field=""assigned_to_email"", new_value=""raj.patel@atlas.com"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000184"", field=""assigned_to_email"", new_value=""raj.patel@atlas.com"")']",Give {new_assigned_to_first_name} all of {assigned_to_first_name}'s customers that are interested in {natural_language_product_interest} and are either qualified or in proposal in the crm,{new_assigned_to_first_name} is taking over all of {assigned_to_first_name}'s customers that are interested in {natural_language_product_interest} and are either qualified or in proposal. Can you reassign them in the crm?,['customer_relationship_manager'],customer_relationship_manager,False,False,uncovered,customer_relationship_manager
Give Nadia all of Sofia's customers that are interested in hardware and are either qualified or in proposal in the crm,"['company_directory.find_email_address.func(name=""Sofia"")', 'customer_relationship_manager.search_customers.func(product_interest=""Hardware"", status=""Proposal"", assigned_to_email=""sofia.santos@atlas.com"")']","[{'customer_id': '00000026', 'assigned_to_email': 'sofia.santos@atlas.com', 'customer_name': 'Quinn Williams', 'customer_email': 'quinn.williams@futureventures', 'customer_phone': nan, 'last_contact_date': '2023-11-13', 'product_interest': 'Hardware', 'status': 'Proposal', 'follow_up_by': '2023-12-07', 'notes': '2023-11-30: Had a call. 2023-10-08: Saw the demo. '}, {'customer_id': '00000058', 'assigned_to_email': 'sofia.santos@atlas.com', 'customer_name': 'Angel Taylor', 'customer_email': 'angel.taylor@alphasecurity', 'customer_phone': '190-422-5135', 'last_contact_date': '2023-10-21', 'product_interest': 'Hardware', 'status': 'Proposal', 'follow_up_by': '2023-10-31', 'notes': '2023-11-25: Had a call. 2023-11-12: Met in person. 2023-10-27: Had a call. '}]",,improved,"['customer_relationship_manager.update_customer.func(customer_id=""00000102"", field=""assigned_to_email"", new_value=""nadia.moreau@atlas.com"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000159"", field=""assigned_to_email"", new_value=""nadia.moreau@atlas.com"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000026"", field=""assigned_to_email"", new_value=""nadia.moreau@atlas.com"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000058"", field=""assigned_to_email"", new_value=""nadia.moreau@atlas.com"")']",Give {new_assigned_to_first_name} all of {assigned_to_first_name}'s customers that are interested in {natural_language_product_interest} and are either qualified or in proposal in the crm,Give {new_assigned_to_first_name} all of {assigned_to_first_name}'s customers that are interested in {natural_language_product_interest} and are either qualified or in proposal in the crm,['customer_relationship_manager'],customer_relationship_manager,False,False,uncovered,customer_relationship_manager
Sofia is taking over all of Raj's customers that are interested in consulting and are either qualified or in proposal. Can you reassign them in the crm?,"['customer_relationship_manager.search_customers.func(product_interest=""Consulting"", status=""Proposal"", assigned_to_email=""raj@example.com"")']",No customers found to reassign.,,improved,"['customer_relationship_manager.update_customer.func(customer_id=""00000097"", field=""assigned_to_email"", new_value=""sofia.santos@atlas.com"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000053"", field=""assigned_to_email"", new_value=""sofia.santos@atlas.com"")']",Give {new_assigned_to_first_name} all of {assigned_to_first_name}'s customers that are interested in {natural_language_product_interest} and are either qualified or in proposal in the crm,{new_assigned_to_first_name} is taking over all of {assigned_to_first_name}'s customers that are interested in {natural_language_product_interest} and are either qualified or in proposal. Can you reassign them in the crm?,['customer_relationship_manager'],customer_relationship_manager,False,False,uncovered,customer_relationship_manager
