query,prediction,full_response,error,tool_set,ground_truth,base_template,chosen_template,domains,source_domain,correct,unwanted_side_effects,coverage,domain
can you cancel my first meeting on December 1,"['calendar.search_events.func(time_min=""2023-12-01 00:00:00"", time_max=""2023-12-01 23:59:59"")', 'calendar.delete_event.func(event_id=""00000165"")']",The first meeting on December 1 has been successfully canceled.,,improved,"['calendar.delete_event.func(event_id=""00000165"")']",Cancel my first meeting on {natural_language_date},can you cancel my first meeting on {natural_language_date},['calendar'],calendar,True,False,uncovered,calendar
Delete my first meeting on December 12,"['calendar.search_events.func(time_min=""2023-12-12 00:00:00"", time_max=""2023-12-12 23:59:59"")', 'calendar.delete_event.func(event_id=""00000055"")']",The first meeting on December 12 has been successfully deleted.,,improved,"['calendar.delete_event.func(event_id=""00000055"")']",Cancel my first meeting on {natural_language_date},Delete my first meeting on {natural_language_date},['calendar'],calendar,True,False,uncovered,calendar
Change the name of the last event on December 5 to quarterly tech roundup,"['calendar.search_events.func(time_min=""2023-12-05 00:00:00"", time_max=""2023-12-05 23:59:59"")', 'calendar.update_event.func(event_id=""00000060"", field=""event_name"", new_value=""quarterly tech roundup"")']",The event name has been successfully updated to 'quarterly tech roundup'.,,improved,"['calendar.update_event.func(event_id=""00000060"", field=""event_name"", new_value=""quarterly tech roundup"")']",Change the name of the last event on {natural_language_date} to {event_name},Change the name of the last event on {natural_language_date} to {event_name},['calendar'],calendar,True,False,uncovered,calendar
please move my first meeting with kofi on December 4 by 1.5 hours,"['calendar.search_events.func(query=""Kofi"", time_min=""2023-12-04 00:00:00"", time_max=""2023-12-04 23:59:59"")', 'calendar.get_event_information_by_id.func(event_id=""00000109"", field=""event_start"")', 'calendar.update_event.func(event_id=""00000109"", field=""event_start"", new_value=""2023-12-04 12:00:00"")']",The meeting with Kofi has been successfully moved to 12:00 PM on December 4.,,improved,"['calendar.update_event.func(event_id=""00000109"", field=""event_start"", new_value=""2023-12-04 12:00:00"")']",Push back my first meeting with {name} on {natural_language_date} by {duration}s,please move my first meeting with {name} on {natural_language_date} by {duration}s,['calendar'],calendar,True,False,uncovered,calendar
please move my first meeting with dmitri on December 18 by 30 minutes,"['calendar.search_events.func(query=""Dmitri"", time_min=""2023-12-18 00:00:00"", time_max=""2023-12-18 23:59:59"")', 'calendar.update_event.func(event_id=""00000047"", field=""event_start"", new_value=""2023-12-18 14:00:00"")']",The meeting with Dmitri has been successfully moved to December 18 at 14:00.,,improved,"['calendar.update_event.func(event_id=""00000047"", field=""event_start"", new_value=""2023-12-18 14:00:00"")']",Push back my first meeting with {name} on {natural_language_date} by {duration}s,please move my first meeting with {name} on {natural_language_date} by {duration}s,['calendar'],calendar,True,False,uncovered,calendar
Can you cancel the next Corporate Social Responsibility Initiative meeting,"['calendar.search_events.func(query=""Corporate Social Responsibility Initiative"", time_min=""2023-11-30 00:00:00"")', 'calendar.delete_event.func(event_id=""00000165"")']",The next Corporate Social Responsibility Initiative meeting has been successfully canceled.,,improved,"['calendar.delete_event.func(event_id=""00000165"")']",Cancel the next {event_name} meeting,Can you cancel the next {event_name} meeting,['calendar'],calendar,True,False,uncovered,calendar
Cancel the next Quarterly Sales Review meeting,"['calendar.search_events.func(query=""Quarterly Sales Review"", time_min=""2023-11-30 00:00:00"", time_max=""2023-11-30 23:59:59"")', 'calendar.search_events.func(query=""Quarterly Sales Review"", time_min=""2023-11-30 00:00:00"", time_max="""")', 'calendar.delete_event.func(event_id=""00000121"")']",The Quarterly Sales Review meeting scheduled for 2023-12-07 has been successfully canceled.,,improved,"['calendar.delete_event.func(event_id=""00000121"")']",Cancel the next {event_name} meeting,Cancel the next {event_name} meeting,['calendar'],calendar,True,False,uncovered,calendar
Change the name of the next daily stand-up meeting to Data Security and Compliance Training,"['calendar.search_events.func(query=""daily stand-up"", time_min=""2023-11-30 09:00:00"", time_max=""2023-11-30 18:00:00"")', 'calendar.search_events.func(time_min=""2023-11-30 09:00:00"", time_max=""2023-11-30 18:00:00"")', 'calendar.create_event.func(event_name=""Data Security and Compliance Training"", participant_email=""fatima.khan@atlas.com"", event_start=""2023-12-01 09:00:00"", duration=""60"")']","The event 'Data Security and Compliance Training' has been successfully created with event ID 00000300, scheduled for December 1, 2023, at 9 AM.",,improved,"['calendar.update_event.func(event_id=""00000086"", field=""event_name"", new_value=""Data Security and Compliance Training"")']",Rename the next {event_name} meeting to {new_event_name},Change the name of the next {event_name} meeting to {new_event_name},['calendar'],calendar,False,True,uncovered,calendar
Cancel my next meeting with sofia,"['calendar.search_events.func(query=""Sofia"", time_min=""2023-11-30 00:00:00"")', 'calendar.delete_event.func(event_id=""00000027"")']",The meeting with Sofia has been successfully canceled.,,improved,"['calendar.delete_event.func(event_id=""00000027"")']",Cancel my next meeting with {name},Cancel my next meeting with {name},['calendar'],calendar,True,False,uncovered,calendar
Cancel my next meeting with anaya,"['calendar.search_events.func(query=""Anaya"", time_min=""2023-11-30 00:00:00"")', 'calendar.delete_event.func(event_id=""00000152"")']",The meeting with Anaya has been successfully canceled.,,improved,"['calendar.delete_event.func(event_id=""00000152"")']",Cancel my next meeting with {name},Cancel my next meeting with {name},['calendar'],calendar,True,False,uncovered,calendar
"If I haven't met with aisha in the last 9 days, schedule a 30-minute meeting called 'catch-up' for my first free slot from tomorrow","['calendar.search_events.func(query=""Aisha"", time_min=""2023-11-21 00:00:00"", time_max=""2023-11-30 23:59:59"")']",No meeting scheduled with Aisha as I have met her in the last 9 days.,,improved,[],"If I haven't met with {name} in the last {duration} days, schedule a 30-minute meeting called 'catch-up' for my first free slot from tomorrow","If I haven't met with {name} in the last {duration} days, schedule a 30-minute meeting called 'catch-up' for my first free slot from tomorrow",['calendar'],calendar,True,False,uncovered,calendar
"I think I might need to catch up with raj. Can you check if I've met with them in the last 5 days? If not, schedule a 30-minute meeting for my first free slot from tomorrow","['calendar.search_events.func(query=""Raj"", time_min=""2023-11-25"", time_max=""2023-11-30"")']",You have met with Raj on 2023-11-29. No new meeting is needed.,,improved,[],"If I haven't met with {name} in the last {duration} days, schedule a 30-minute meeting called 'catch-up' for my first free slot from tomorrow","I think I might need to catch up with {name}. Can you check if I've met with them in the last {duration} days? If not, schedule a 30-minute meeting for my first free slot from tomorrow",['calendar'],calendar,True,False,uncovered,calendar
something came up. Can you cancel my meetings on Friday before 11:30?,"['calendar.search_events.func(time_min=""2023-12-01 00:00:00"", time_max=""2023-12-01 11:30:00"")', 'calendar.delete_event.func(event_id=""00000165"")', 'calendar.delete_event.func(event_id=""00000091"")']",Meetings canceled successfully.,,improved,"['calendar.delete_event.func(event_id=""00000165"")', 'calendar.delete_event.func(event_id=""00000091"")']",Cancel my meetings on {next_day} {before_or_after} {natural_language_time},something came up. Can you cancel my meetings on {next_day} {before_or_after} {natural_language_time}?,['calendar'],calendar,True,False,uncovered,calendar
Cancel all future meetings with raj,"['calendar.search_events.func(query=""Raj"", time_min=""2023-11-30 00:00:00"", time_max=""2024-12-31 23:59:59"")', 'calendar.delete_event.func(event_id=""00000093"")', 'calendar.delete_event.func(event_id=""00000242"")', 'calendar.delete_event.func(event_id=""00000012"")']",All future meetings with Raj have been successfully canceled.,,improved,"['calendar.delete_event.func(event_id=""00000093"")', 'calendar.delete_event.func(event_id=""00000242"")', 'calendar.delete_event.func(event_id=""00000012"")']",Cancel all future meetings with {name},Cancel all future meetings with {name},['calendar'],calendar,True,False,uncovered,calendar
Cancel all future meetings with nia,"['calendar.search_events.func(query=""nia"", time_min=""2023-11-30 00:00:00"")', 'calendar.delete_event.func(event_id=""00000237"")', 'calendar.delete_event.func(event_id=""00000279"")', 'calendar.delete_event.func(event_id=""00000208"")', 'calendar.delete_event.func(event_id=""00000020"")']",All future meetings with Nia have been successfully canceled.,,improved,"['calendar.delete_event.func(event_id=""00000237"")', 'calendar.delete_event.func(event_id=""00000279"")', 'calendar.delete_event.func(event_id=""00000208"")', 'calendar.delete_event.func(event_id=""00000020"")']",Cancel all future meetings with {name},Cancel all future meetings with {name},['calendar'],calendar,True,False,uncovered,calendar
