query,prediction,full_response,error,tool_set,ground_truth,base_template,chosen_template,domains,source_domain,correct,unwanted_side_effects,coverage,domain
I need to delete my last email from leila. Can you do that?,"['email.search_emails.func(query=""leila"", date_min=""2023-11-01"", date_max=""2023-11-30"")', 'email.delete_email.func(email_id=""00000052"")']",The last email from Leila has been deleted successfully.,,improved,"['email.delete_email.func(email_id=""00000052"")']",Delete my last email from {name},I need to delete my last email from {name}. Can you do that?,['email'],email,True,False,uncovered,email
Delete all my emails from yuki from the last 5 days,"['email.search_emails.func(query=""yuki"", date_min=""2023-11-25"", date_max=""2023-11-30"")', 'email.delete_email.func(email_id=""00000149"")']",All emails from Yuki in the last 5 days have been deleted successfully.,,improved,"['email.delete_email.func(email_id=""00000149"")']",Delete all my emails from {name} from the last {days} days,Delete all my emails from {name} from the last {days} days,['email'],email,True,False,uncovered,email
I need to get rid of all my emails from nadia from the last 4 days. Can you do delete them?,"['email.search_emails.func(query=""nadia"", date_min=""2023-11-26"", date_max=""2023-11-30"")', 'email.delete_email.func(email_id=""00000479"")', 'email.delete_email.func(email_id=""00000070"")']",All emails from Nadia from the last 4 days have been successfully deleted.,,improved,"['email.delete_email.func(email_id=""00000070"")', 'email.delete_email.func(email_id=""00000479"")']",Delete all my emails from {name} from the last {days} days,I need to get rid of all my emails from {name} from the last {days} days. Can you do delete them?,['email'],email,True,False,uncovered,email
"I need to send an email to chenwei saying 'chenwei,\n\nI wanted to let you know that I've completed the tasks for the daily stand-up. Looking forward to your feedback.\n\nThanks,\n\nSam' and title it 'Update on daily stand-up'. Can you do that?","['company_directory.find_email_address.func(name=""Chen Wei"")', 'company_directory.find_email_address.func(name=""Chen"")', 'email.send_email.func(recipient=""chenwei.zhang@atlas.com"", subject=""Update on daily stand-up"", body=""chenwei,\\n\\nI wanted to let you know that I\'ve completed the tasks for the daily stand-up. Looking forward to your feedback.\\n\\nThanks,\\n\\nSam"")']",Email sent successfully to Chen Wei.,,improved,"['email.send_email.func(recipient=""chenwei.zhang@atlas.com"", subject=""Update on daily stand-up"", body=""chenwei,\\n\\nI wanted to let you know that I\'ve completed the tasks for the daily stand-up. Looking forward to your feedback.\\n\\nThanks,\\n\\nSam"")']",Send an email to {name} saying '{body}' and title it '{subject}',I need to send an email to {name} saying '{body}' and title it '{subject}'. Can you do that?,['email'],email,True,False,uncovered,email
"I need to send an email to kofi saying 'Hi kofi,\n\nI've been assigned 'Fix bug in user management module'. Excited to work on this and confident it will greatly improve our backend efficiency.\n\nThanks,\n\nSam' and title it 'Update on Corporate Social Responsibility Initiative'. Can you do that?","['company_directory.find_email_address.func(name=""Kofi"")', 'email.send_email.func(recipient=""kofi.mensah@atlas.com"", subject=""Update on Corporate Social Responsibility Initiative"", body=""Hi kofi,\\n\\nI\'ve been assigned \'Fix bug in user management module\'. Excited to work on this and confident it will greatly improve our backend efficiency.\\n\\nThanks,\\n\\nSam"")']",Email sent successfully to Kofi.,,improved,"['email.send_email.func(recipient=""kofi.mensah@atlas.com"", subject=""Update on Corporate Social Responsibility Initiative"", body=""Hi kofi,\\n\\nI\'ve been assigned \'Fix bug in user management module\'. Excited to work on this and confident it will greatly improve our backend efficiency.\\n\\nThanks,\\n\\nSam"")']",Send an email to {name} saying '{body}' and title it '{subject}',I need to send an email to {name} saying '{body}' and title it '{subject}'. Can you do that?,['email'],email,True,False,uncovered,email
Reply to nia's last email about 'Task Update on Design logo for website' with 'Thanks for the update - I will get back to you tomorrow.',"['email.search_emails.func(query=""Task Update on Design logo for website"")', 'email.reply_email.func(email_id=""00000403"", body=""Thanks for the update - I will get back to you tomorrow."")']",Reply to Nia's email has been sent successfully.,,improved,"['email.reply_email.func(email_id=""00000403"", body=""Thanks for the update - I will get back to you tomorrow."")']",Reply to {name}'s last email about '{subject}' with 'Thanks for the update - I will get back to you tomorrow.',Reply to {name}'s last email about '{subject}' with 'Thanks for the update - I will get back to you tomorrow.',['email'],email,True,False,uncovered,email
can you forward all the emails from anaya last week about 'Update on Board of Directors Conclave' to nadia,"['company_directory.find_email_address.func(name=""Anaya"")', 'email.search_emails.func(query=""Update on Board of Directors Conclave"", date_min=""2023-11-23"", date_max=""2023-11-29"")']",No emails found to forward.,,improved,"['email.forward_email.func(email_id=""00000346"", recipient=""nadia.moreau@atlas.com"")', 'email.forward_email.func(email_id=""00000120"", recipient=""nadia.moreau@atlas.com"")']",Forward all the emails from {name} last week about '{subject}' to {recipient_name},can you forward all the emails from {name} last week about '{subject}' to {recipient_name},['email'],email,False,False,uncovered,email
Forward all the emails from amir last week about 'Task Update on Update brand colors in website' to yuki,"['company_directory.find_email_address.func(name=""Amir"")', 'email.search_emails.func(query=""Task Update on Update brand colors in website"", date_min=""2023-11-23"", date_max=""2023-11-29"")']",No relevant emails found from Amir regarding the specified task.,,improved,"['email.forward_email.func(email_id=""00000431"", recipient=""yuki.tanaka@atlas.com"")']",Forward all the emails from {name} last week about '{subject}' to {recipient_name},Forward all the emails from {name} last week about '{subject}' to {recipient_name},['email'],email,False,False,uncovered,email
can you forward the latest email about 'Update on Corporate Governance Workshop' to yuki,"['email.search_emails.func(query=""Update on Corporate Governance Workshop"", date_min=""2023-11-01"", date_max=""2023-11-30"")', 'company_directory.find_email_address.func(name=""Yuki"")', 'email.forward_email.func(email_id=""00000428"", recipient=""yuki.tanaka@atlas.com"")']",Email forwarded successfully to Yuki.,,improved,"['email.forward_email.func(email_id=""00000428"", recipient=""yuki.tanaka@atlas.com"")']",Forward the latest email about '{subject}' to {recipient_name},can you forward the latest email about '{subject}' to {recipient_name},['email'],email,True,False,uncovered,email
Forward the latest email about 'Task Update on Optimize database query for user management' to aisha,"['company_directory.find_email_address.func(name=""Aisha"")', 'email.search_emails.func(query=""Task Update on Optimize database query for user management"", date_min=""2023-11-01"", date_max=""2023-11-30"")', 'email.forward_email.func(email_id=""00000422"", recipient=""aisha.chen@atlas.com"")']",Email forwarded successfully.,,improved,"['email.forward_email.func(email_id=""00000422"", recipient=""aisha.chen@atlas.com"")']",Forward the latest email about '{subject}' to {recipient_name},Forward the latest email about '{subject}' to {recipient_name},['email'],email,True,False,uncovered,email
